	Ano	CasaID	ID_partida	PlacarCasa	PlacarVisitante	Resultado	Rodada	VisitanteID	abrev_clube_casa	abrev_clube_fora
1064	2015	285	190227	1.0	0.0	Casa	18	266	INT	FLU
1068	2016	285	201548	2.0	2.0	Empate	19	266	INT	FLU
1072	2014	288	180044	3.0	2.0	Casa	10	266	CRI	FLU
1074	2014	315	180123	1.0	0.0	Casa	16	266	CHA	FLU
1078	2015	315	190202	2.0	1.0	Casa	15	266	CHA	FLU
1082	2016	315	201306	0.0	0.0	Empate	6	266	CHA	FLU
1086	2017	315	211328	2.0	0.0		30	266	CHA	FLU
1090	2014	263	180096	2.0	0.0	Casa	15	266	BOT	FLU
1094	2016	263	201323	1.0	0.0	Casa	23	266	BOT	FLU
1098	2017	263	211279	1.0	2.0		32	266	BOT	FLU
1104	2014	292	180227	2.0	2.0	Empate	36	266	SPT	FLU
1108	2015	292	190302	1.0	0.0	Casa	25	266	SPT	FLU
1112	2016	292	201369	2.0	1.0	Casa	9	266	SPT	FLU
1116	2017	292	211555	2.0	2.0		18	266	SPT	FLU
1118	2014	264	180138	1.0	1.0	Empate	18	266	COR	FLU
1122	2015	264	190264	2.0	0.0	Casa	22	266	COR	FLU
1126	2016	264	201414	0.0	1.0	Visitante	27	266	COR	FLU
1130	2017	264	211232	3.0	1.0		35	266	COR	FLU
1134	2014	275	179885	0.0	1.0	Visitante	2	266	PAL	FLU
1138	2015	275	190114	2.0	1.0	Casa	7	266	PAL	FLU
1142	2016	275	201249	2.0	0.0	Casa	3	266	PAL	FLU
1146	2017	275	211351	3.0	1.0		6	266	PAL	FLU
1150	2014	294	180215	1.0	0.0	Casa	33	266	CFC	FLU
1154	2015	294	190291	1.0	1.0	Empate	24	266	CFC	FLU
1158	2016	294	201524	1.0	1.0	Empate	32	266	CFC	FLU
1162	2017	294	211514	1.0	2.0		14	266	CFC	FLU
1166	2014	283	180152	2.0	1.0	Casa	38	266	CRU	FLU
1170	2015	283	190359	2.0	0.0	Casa	31	266	CRU	FLU
1174	2016	283	201560	4.0	2.0	Casa	34	266	CRU	FLU
1178	2017	283	211253	3.0	1.0		34	266	CRU	FLU
1182	2014	287	180057	3.0	1.0	Casa	22	266	VIT	FLU
1186	2016	287	201452	0.0	0.0	Empate	14	266	VIT	FLU
1190	2017	287	211466	2.0	2.0		23	266	VIT	FLU
1194	2014	284	179942	1.0	0.0	Casa	5	266	GRE	FLU
1198	2015	284	190398	1.0	0.0	Casa	35	266	GRE	FLU
1202	2016	284	201398	0.0	1.0	Visitante	26	266	GRE	FLU
1206	2017	284	211415	1.0	0.0		26	266	GRE	FLU
1210	2014	316	179912	1.0	1.0	Empate	20	266	FIG	FLU
1214	2015	316	190430	1.0	0.0	Casa	38	266	FIG	FLU
1218	2016	316	201595	1.0	0.0	Casa	37	266	FIG	FLU
1222	2014	290	180217	0.0	2.0	Visitante	32	266	GOI	FLU
1224	2015	290	190142	1.0	2.0	Visitante	9	266	GOI	FLU
1226	2015	267	190377	0.0	1.0	Visitante	33	266	VAS	FLU
1228	2017	267	211290	3.0	2.0		3	266	VAS	FLU
1230	2015	314	190218	1.0	0.0	Casa	17	266	AVA	FLU
1232	2017	314	211408	0.0	3.0		9	266	AVA	FLU
1234	2015	303	190316	3.0	1.0	Casa	27	266	PON	FLU
1238	2016	303	201586	1.0	0.0	Casa	36	266	PON	FLU
1242	2017	303	211577	0.0	0.0		17	266	PON	FLU
1246	2015	317	190253	2.0	1.0	Casa	20	266	JEC	FLU
1248	2016	327	201233	0.0	1.0	Visitante	1	266	AME	FLU
1250	2016	344	201296	0.0	1.0	Visitante	21	266	SCZ	FLU
1252	2017	373	211207	1.0	1.0		38	266	ACG	FLU
1254	2014	262	179996	1.0	1.0	Empate	8	316	FLA	FIG
1258	2015	262	190157	1.0	2.0	Visitante	11	316	FLA	FIG
1262	2016	262	201391	2.0	0.0	Casa	26	316	FLA	FIG
1266	2014	266	179873	3.0	0.0	Casa	1	316	FLU	FIG
1270	2015	266	190235	2.0	1.0	Casa	19	316	FLU	FIG
1274	2016	266	201526	3.0	2.0	Casa	18	316	FLU	FIG
1278	2014	276	180175	1.0	1.0	Empate	37	316	SAO	FIG
1282	2015	276	190414	3.0	2.0	Casa	37	316	SAO	FIG
1286	2016	276	201346	3.0	1.0	Casa	24	316	SAO	FIG
1290	2014	277	179966	3.0	1.0	Casa	23	316	SAN	FIG
1294	2015	277	190175	3.0	0.0	Casa	13	316	SAN	FIG
1298	2016	277	201307	0.0	1.0	Visitante	22	316	SAN	FIG
1302	2014	293	180103	3.0	0.0	Casa	28	316	CAP	FIG
1306	2015	293	190100	1.0	0.0	Casa	5	316	CAP	FIG
1310	2016	293	201262	2.0	1.0	Casa	4	316	CAP	FIG
1314	2014	282	180196	1.0	1.0	Empate	34	316	CAM	FIG
1318	2015	282	190198	1.0	0.0	Casa	15	316	CAM	FIG
1322	2016	282	201519	3.0	0.0	Casa	32	316	CAM	FIG
1326	2014	265	179931	3.0	0.0	Casa	21	316	BAH	FIG
1328	2014	285	180174	2.0	3.0	Visitante	19	316	INT	FIG
1332	2015	285	190318	1.0	1.0	Empate	27	316	INT	FIG
1336	2016	285	201436	1.0	0.0	Casa	28	316	INT	FIG
1340	2014	288	179906	1.0	0.0	Casa	3	316	CRI	FIG
1342	2014	315	180093	0.0	1.0	Visitante	14	316	CHA	FIG
1346	2015	315	190222	2.0	2.0	Empate	17	316	CHA	FIG
1350	2016	315	201563	1.0	0.0	Casa	34	316	CHA	FIG
1354	2014	263	180183	0.0	1.0	Visitante	35	316	BOT	FIG
1358	2016	263	201370	0.0	0.0	Empate	10	316	BOT	FIG
1364	2014	292	180184	1.0	0.0	Casa	32	316	SPT	FIG
1368	2015	292	190061	4.0	1.0	Casa	1	316	SPT	FIG
1372	2016	292	201607	2.0	0.0	Casa	38	316	SPT	FIG
1374	2014	264	179930	0.0	1.0	Visitante	5	316	COR	FIG
